Country,State,District,Year,Name Of The Project,Sector,Physical Progress Of The Project,Cost Of The Project (UOM:INR(IndianRupees)),Approved Amount Of Grant-In-Aid (UOM:INR(IndianRupees)),Total Amount Of Grant Released (UOM:INR(IndianRupees))
India,RAJASTHAN,DHOLPUR,"Calendar Year (Jan - Dec), 2021",Raghunandan Cold Chember LLP,F&V,Commercial production started,20.06,5.47,5.47
India,WEST BENGAL,HOOGHLY,"Calendar Year (Jan - Dec), 2021",Revati Commercial Pvt. Ltd,F&V,Commercial production started,17.41,7.16,7.16
India,TAMIL NADU,THENI,"Calendar Year (Jan - Dec), 2021",Farm Fresh Banana,F&V,Commercial production started,15.54,6.06,6.06
India,GUJARAT,MAHESANA,"Calendar Year (Jan - Dec), 2021",Himalaya International Ltd.,"Mixed (Dairy, F&V)",Reported completion of project,130,10,7.5
India,PUNJAB,Shahid Bhagat Singh Nagar,"Calendar Year (Jan - Dec), 2021",A.S.Frozen Foods,F&V,65% progress,17.31,6.5,4.17
India,MAHARASHTRA,NAGPUR,"Calendar Year (Jan - Dec), 2021",Farmico Cold Chain & Logistics Limited,F&V,Reported completion of project,31.29,7.83,5.08
India,MAHARASHTRA,NASHIK,"Calendar Year (Jan - Dec), 2021",Omni Fresh Agro,F&V,Commercial production started,19.63,5.65,5.65
India,TAMIL NADU,TUTICORIN,"Calendar Year (Jan - Dec), 2021",Gamma Tech India Private Limited,Irradiation,Under Implementation,20.11,6.26,
India,PUNJAB,LUDHIANA,"Calendar Year (Jan - Dec), 2021",Asianlak Health Foods Ltd.,F&V,Reported completion of project,22.77,7.59,1.9
India,KERALA,ERNAKULAM,"Calendar Year (Jan - Dec), 2021",Abad Fisheries Pvt. Ltd,Fishery,Reported completion of project,10.36,3.01,1.82
India,RAJASTHAN,JAIPUR,"Calendar Year (Jan - Dec), 2021",Mewar Foods Private Limited,Dairy,Under Implementation,15.84,5.74,
India,KARNATAKA,BENGALURU URBAN,"Calendar Year (Jan - Dec), 2021",Atharvass Traders Pvt Ltd.,F&V,Commercial production started,28.61,7.5,7.5
India,BIHAR,MUZAFFARPUR,"Calendar Year (Jan - Dec), 2021",RK Agri Biz LLP,F&V,Commercial production started,22.79,7.48,7.48
India,RAJASTHAN,UDAIPUR,"Calendar Year (Jan - Dec), 2021",Gandhinagar District Cooperative Milk Producers Union Limited,Dairy,Under Implementation,27.5,10,
India,TELANGANA,YADADRI BHUVANAGIRI,"Calendar Year (Jan - Dec), 2021",Vallhabha Milk Products Pvt Ltd,Dairy,Reported 65% progress,31.94,7.88,1.67
India,KERALA,PALAKKAD,"Calendar Year (Jan - Dec), 2021",M.A. Cold Chain Infrastructure,F&V,Under Implementation,36.52,10,
India,GUJARAT,NAVSARI,"Calendar Year (Jan - Dec), 2021",Suzaina Foods,Irradiation,Under Implementation,23.74,10,
India,ANDHRA PRADESH,VISAKHAPATANAM,"Calendar Year (Jan - Dec), 2021",Sai Surya Exports,Marine,Under Implementation,46.2,10,
India,MAHARASHTRA,PUNE,"Calendar Year (Jan - Dec), 2021",Mhetre Foods Pvt. Ltd,F&V,Commercial production started,12.51,4.78,4.78
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",Konark Industries,F&V,Commercial production started,19.97,8.98,8.98
India,KARNATAKA,RAMANAGARA,"Calendar Year (Jan - Dec), 2021",Dairy Classic Ice Creams Pvt Ltd,Dairy,Commercial production started,29.81,7.61,7.61
India,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,"Calendar Year (Jan - Dec), 2021",MKC Agro Fresh Ltd.,F&V,Commercial production started,36.55,10,10
India,MAHARASHTRA,AHMEDNAGAR,"Calendar Year (Jan - Dec), 2021",Sunfresh Agro Industries Pvt. Ltd,Dairy,Commercial production started,46.18,9.55,9.55
India,GUJARAT,GIR SOMNATH,"Calendar Year (Jan - Dec), 2021",Lions Foods Pvt Ltd,Irradiation,Under Implementation,22.45,6.47,
India,WEST BENGAL,24 PARAGANAS NORTH,"Calendar Year (Jan - Dec), 2021",Keventer Agro Ltd.,F&V,Commercial production started,31.11,7.3,7.3
India,HIMACHAL PRADESH,SHIMLA,"Calendar Year (Jan - Dec), 2021",Dev Bhumi Cold Chain Ltd,F&V,Commercial production started,14.25,8.05,8.05
India,BIHAR,KISHANGANJ,"Calendar Year (Jan - Dec), 2021",ABZ Agro Pvt Ltd,Meat,65% progress,43.34,10,6.5
India,UTTAR PRADESH,BUDAUN,"Calendar Year (Jan - Dec), 2021",R.C Foods,F&V,Commercial production started,27.15,9.74,9.74
India,TAMIL NADU,DHARMAPURI,"Calendar Year (Jan - Dec), 2021",TREESAS FOOD CRAFTS PVT. LTD.,Dairy,Under implementation,45.1,6.6,
India,KARNATAKA,RAMANAGARA,"Calendar Year (Jan - Dec), 2021",BAMUL,Dairy,Reported 65% progress,49.45,8.76,2.14
India,TELANGANA,RANGA REDDY,"Calendar Year (Jan - Dec), 2021",Dodla Dairy Ltd.,Dairy,Commercial production started,32,6,4.08
India,MAHARASHTRA,RAIGAD,"Calendar Year (Jan - Dec), 2021",Blue Fin Frozen Pvt. Ltd.,Fishery,Commercial production started,25.46,6.16,6.16
India,UTTAR PRADESH,RAMPUR,"Calendar Year (Jan - Dec), 2021",Bright Food Industries,F&V,Under Implementation,19.21,6.81,
India,KERALA,ALAPPUZHA,"Calendar Year (Jan - Dec), 2021",Sun Aquatic Products Pvt. Ltd,Fishery,Reported 65% progress,27.31,10,2.5
India,MADHYA PRADESH,INDORE,"Calendar Year (Jan - Dec), 2021",Jamnadas Industries,Irradiation,65% progress,30.8,7.6,4.95
India,UTTAR PRADESH,PRAYAGRAJ,"Calendar Year (Jan - Dec), 2021",Manglam Milk India Pvt. Ltd,Dairy,Commercial production started,18.97,7.61,7.61
India,PUNJAB,KAPURTHALA,"Calendar Year (Jan - Dec), 2021",Kool Tech Infra & Logistics,F&V,Commercial production started,24.9,9.38,9.38
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",Powercon Industries Limited,F&V,Commercial production started,16.98,7.94,7.94
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",Bajpai Refrigerating and Bakers Co,F&V,Commercial production started,15.54,8.85,8.85
India,MAHARASHTRA,NASHIK,"Calendar Year (Jan - Dec), 2021",Satec Envir Engineering (I) Pvt. Ltd,F&V,Reported completion of project,22.62,7.41,5.47
India,GUJARAT,MAHESANA,"Calendar Year (Jan - Dec), 2021",Vimal Dairy Pvt. Ltd,Dairy,Commercial production started,28.86,10,10
India,WEST BENGAL,24 PARAGANAS SOUTH,"Calendar Year (Jan - Dec), 2021",Amicus Healthcare Services and Solution Pvt. Ltd.,F&V,Commercial production started,16.28,4.45,4.45
India,MAHARASHTRA,RAIGAD,"Calendar Year (Jan - Dec), 2021",Elaf Cold Storage,Fishery,Reported 65% progress,29.99,10,2.5
India,PUNJAB,JALANDHAR,"Calendar Year (Jan - Dec), 2021",Sangha Refrigeration,F&V,Commercial production started,26.21,10,10
India,HARYANA,JHAJJAR,"Calendar Year (Jan - Dec), 2021",Beejapuri Dairy Private Limited,Dairy,Under Implementation,28.89,10,
India,KARNATAKA,DAKSHINA KANNADA,"Calendar Year (Jan - Dec), 2021",Ideal Icecream,Dairy,65% progress,36.54,10,6.5
India,TAMIL NADU,SALEM,"Calendar Year (Jan - Dec), 2021",The Salem District Cooperative Milk Producers Union Ltd.,Dairy,25% progress,47.4,1.43,0.36
India,GUJARAT,AHMADABAD,"Calendar Year (Jan - Dec), 2021",NB Natural Food Products,F&V,Under Implementation,32.08,9.96,
India,TAMIL NADU,COIMBATORE,"Calendar Year (Jan - Dec), 2021",Cocoland Agro Pvt. Ltd.,Dairy,Reported completion of project,9.66,3.07,2
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",Agarwal Frozen Foods,F&V,65% progress,16.75,6.96,4.29
India,TAMIL NADU,DINDIGUL,"Calendar Year (Jan - Dec), 2021",Shanthi Feeds Pvt Ltd,Meat,65% progress,46.7,10,6.5
India,UTTARAKHAND,HARIDWAR,"Calendar Year (Jan - Dec), 2021",Aveena Milk Products,Dairy,Commercial production started,21.98,7.5,7.5
India,HARYANA,SONIPAT,"Calendar Year (Jan - Dec), 2021",Skylark Foods Pvt Ltd,Meat,Commercial production started,12.8,4,4
India,GUJARAT,SABAR KANTHA,"Calendar Year (Jan - Dec), 2021",Sabarkantha Dist. Co-op Society,Dairy,Commercial production started,23.8,5.72,5.72
India,GUJARAT,SURAT,"Calendar Year (Jan - Dec), 2021",MCFROST India,F&V,Under Implementation,27.68,8.67,
India,UTTAR PRADESH,UNNAO,"Calendar Year (Jan - Dec), 2021",Impartial Agrotech (P) Ltd.,Irradiation,Commercial production started,14.79,6.31,6.31
India,HIMACHAL PRADESH,KULLU,"Calendar Year (Jan - Dec), 2021",Bija Agrifresh Private Limited,F&V,Under Implementation,35,10,
India,ANDHRA PRADESH,WEST GODAVARI,"Calendar Year (Jan - Dec), 2021",Varma Marine,Marine,Under Implementation,26.44,10,
India,ODISHA,BALESHWAR,"Calendar Year (Jan - Dec), 2021",Highland Agro,Marine,65% progress,53.08,10,6.5
India,MAHARASHTRA,NASHIK,"Calendar Year (Jan - Dec), 2021",Dairy Power Limited,Dairy,65% progress,44.8,10,6.5
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",Aalishan International Pvt Ltd,F&V,Commercial production started,16.83,10,10
India,RAJASTHAN,JAIPUR,"Calendar Year (Jan - Dec), 2021",Rajendra & Ursula Joshi Food Industries Pvt. Ltd.,Dairy,Commercial production started,53.73,9.28,9.28
India,ASSAM,KAMRUP METRO,"Calendar Year (Jan - Dec), 2021",Global Entrade,F&V,Commercial production started,24.28,9.09,9.09
India,NAGALAND,DIMAPUR,"Calendar Year (Jan - Dec), 2021",Nagaland Integrated Cold Chain,"Mixed (F&V, Meat & Fishery)",Commercial production started,18.59,6.98,6.98
India,MAHARASHTRA,RAIGAD,"Calendar Year (Jan - Dec), 2021",Forstar Frozen Food Pvt. Ltd.,Fishery,Commercial production started,36.68,10,10
India,MAHARASHTRA,AMRAVATI,"Calendar Year (Jan - Dec), 2021","Taksh Cold Chain,",F&V,Reported completion of project,22.56,9.99,6.49
India,KARNATAKA,BENGALURU URBAN,"Calendar Year (Jan - Dec), 2021",Square Meal Private Limited,Meat,Under Implementation,9.97,3.91,
India,WEST BENGAL,MEDINIPUR EAST,"Calendar Year (Jan - Dec), 2021",Pasupati Aquatics Pvt Ltd,Marine,65% progress,49.5,10,6.5
India,PUNJAB,FATEHGARH SAHIB,"Calendar Year (Jan - Dec), 2021",Chanakya Dairy Products Limited,Dairy,Commercial production started,31,10,10
India,PUNJAB,PATIALA,"Calendar Year (Jan - Dec), 2021",Resource Foods Pvt Ltd,F&V,Commercial production started,21.56,7.3,7.3
India,MAHARASHTRA,MUMBAI,"Calendar Year (Jan - Dec), 2021",Savla Foods & Cold Storage Pvt Ltd,F&V,Commercial production started,27,7.2,7.2
India,KARNATAKA,BELAGAVI,"Calendar Year (Jan - Dec), 2021",Agro Tech,F&V,Reported 25% progress,15.38,10,
India,UTTAR PRADESH,JALAUN,"Calendar Year (Jan - Dec), 2021",Raj Frozen Products,F&V,65% progress,23.53,9.13,5.77
India,KARNATAKA,BELAGAVI,"Calendar Year (Jan - Dec), 2021",Vijaykant Dairy & Food Products Ltd,Dairy,Commercial production started,8.66,2.8,2.8
India,ANDHRA PRADESH,EAST GODAVARI,"Calendar Year (Jan - Dec), 2021",Veerabhadra Exports Pvt. Ltd.,Marine & Fishery,Under Implementation,36.38,10,
India,TELANGANA,RANGA REDDY,"Calendar Year (Jan - Dec), 2021",Gubba Cold Private Limited,F&V,65% progress,24.99,8.87,5.77
India,KARNATAKA,KOLAR,"Calendar Year (Jan - Dec), 2021",Innova Agri Bio Park Ltd,Irradiation,Commercial production started,14,3.36,3.36
India,TAMIL NADU,TIRUNELVELI,"Calendar Year (Jan - Dec), 2021",Marble Valley Foods and Beverages Private Limited,Marine,Commercial production started,32.47,8.24,8.24
India,MAHARASHTRA,SATARA,"Calendar Year (Jan - Dec), 2021",VaishVik Foods Pvt.LTd.,F&V,Commercial production started,26.53,7.39,7.39
India,UTTAR PRADESH,RAE BARELI,"Calendar Year (Jan - Dec), 2021",Sheetal Agro Food Park Private Limited,F&V,Reported completion of project,21.6,8.47,5.5
India,UTTAR PRADESH,BALLIA,"Calendar Year (Jan - Dec), 2021",Shiva and Sons Agro Products,Dairy,65% progress,14.23,5.21,3.38
India,WEST BENGAL,HOWRAH,"Calendar Year (Jan - Dec), 2021",Megaa Moda Pvt. Ltd.,Marine,Commercial production started,35.28,8.27,8.27
India,MAHARASHTRA,THANE,"Calendar Year (Jan - Dec), 2021",RGA Fresh Fruits Pvt. Ltd.,F&V,Commercial production started,37.9,8.19,8.19
India,PUNJAB,HOSHIARPUR,"Calendar Year (Jan - Dec), 2021",P. Star Agro Products,F&V,Under Implementation,16.12,11.22,
India,HIMACHAL PRADESH,SOLAN,"Calendar Year (Jan - Dec), 2021",Paonta Sahib Food Corporation,F&V,Commercial production started,20.89,7.17,7.17
India,MAHARASHTRA,PUNE,"Calendar Year (Jan - Dec), 2021",Sri Sri Milk and Food Product,Dairy,Reported completion of project,12.88,4.21,2.74
India,GUJARAT,BHAVNAGAR,"Calendar Year (Jan - Dec), 2021",Natural Frozen & Dehydrated Foods,F&V,Commercial production started,12.5,2.9,2.9
India,RAJASTHAN,KOTA,"Calendar Year (Jan - Dec), 2021",Shiv Health Foods LLP,Dairy,Commercial production started,33,6.59,6.59
India,ANDHRA PRADESH,EAST GODAVARI,"Calendar Year (Jan - Dec), 2021",Devi Aqua Tech Private Limited,Fishery,Commercial production started,63.7,10,10
India,TELANGANA,MEDAK,"Calendar Year (Jan - Dec), 2021",Prima Foodtech Private Limited,F&V,Commercial production started,29.37,6.95,6.95
India,PUNJAB,AMRITSAR,"Calendar Year (Jan - Dec), 2021",Siberian Tiger Foods,F&V,Commercial production started,12.96,4.66,4.66
India,MAHARASHTRA,PUNE,"Calendar Year (Jan - Dec), 2021",Fortune Dairy Industries Pvt Ltd,Dairy,Reported completion of project,31.81,7.46,5.43
India,HIMACHAL PRADESH,UNA,"Calendar Year (Jan - Dec), 2021",Canvas Integrated Cold Chain,F&V,Commercial production started,14.63,7.42,7.42
India,UTTAR PRADESH,AGRA,"Calendar Year (Jan - Dec), 2021",Shri Balaji Foods,F&V,Commercial production started,23.47,10,10
India,ANDHRA PRADESH,VISAKHAPATANAM,"Calendar Year (Jan - Dec), 2021",Naturade Foods Private Limited,F&V,Under Implementation,15.57,3.79,
India,HIMACHAL PRADESH,SOLAN,"Calendar Year (Jan - Dec), 2021",Hillcrest Foods,F&v,Commercial production started,15.61,7.69,7.69
India,HIMACHAL PRADESH,SOLAN,"Calendar Year (Jan - Dec), 2021",Aromatrix Flora Pvt Ltd,F&V,Commercial production started,15.65,9.75,9.75
India,TAMIL NADU,DINDIGUL,"Calendar Year (Jan - Dec), 2021",Swathi Hatcheries,Meat & Poultry,Under Implementation,40.32,10,
India,MAHARASHTRA,OSMANABAD,"Calendar Year (Jan - Dec), 2021",Vaishno Devi Food Products Pvt Ltd,Dairy,Reported completion of project,23.8,10,6.5
India,WEST BENGAL,HOWRAH,"Calendar Year (Jan - Dec), 2021",Sagar Multipurpose Storage Pvt. Ltd.,Marine,Reported 25% progress,15.46,4.6,
India,MAHARASHTRA,PUNE,"Calendar Year (Jan - Dec), 2021",Tirupati Balaji Agro Products Pvt. Ltd.,F&V,Commercial production started,50.41,7.66,7.66
India,PUNJAB,FATEHGARH SAHIB,"Calendar Year (Jan - Dec), 2021",PRS Milk Products Pvt Ltd,Dairy,65% progress,3.9,1.38,0.91
India,MAHARASHTRA,PUNE,"Calendar Year (Jan - Dec), 2021",Trimurti Dairy Farm,Dairy,Reported 65% progress,5.39,0.88,0.22
India,MAHARASHTRA,AURANGABAD,"Calendar Year (Jan - Dec), 2021","Warana Dairy & Agro Industries Ltd,",Dairy,Commercial production started,43.31,9.15,9.15
India,CHHATTISGARH,RAIPUR,"Calendar Year (Jan - Dec), 2021",L.L. Logistics Pvt. Ltd,F&V,Commercial production started,18.68,7.34,5.5
India,MAHARASHTRA,NASHIK,"Calendar Year (Jan - Dec), 2021",Varun Agro Processing Foods Private Limited,F&V,Reported completion of project,28.35,7.25,4.7
India,JAMMU AND KASHMIR,Budgam,"Calendar Year (Jan - Dec), 2021",FIL Industries Ltd,F&V,Commercial production started,13.8,8.6,6.21
India,KARNATAKA,HAVERI,"Calendar Year (Jan - Dec), 2021",Golden Hatcheries,Meat,Under Implementation,38.03,10,
India,UTTARAKHAND,HARIDWAR,"Calendar Year (Jan - Dec), 2021",Rana Frozen Foods,F&V,Commercial production started,16.88,10,10
India,TELANGANA,KARIMNAGAR,"Calendar Year (Jan - Dec), 2021",Karimnagar Milk Prodiucer Company Ltd,Dairy,Reported 65% progress,63.06,10,2.5
India,UTTAR PRADESH,JALAUN,"Calendar Year (Jan - Dec), 2021",Shanti Sheet Grah Private Limited,F&V,Commercial production started,26.24,8.48,8.48
India,MADHYA PRADESH,BETUL,"Calendar Year (Jan - Dec), 2021",Brij Dairy,Dairy,Commercial production started,8.06,2.43,2.43
India,PUNJAB,RUPNAGAR,"Calendar Year (Jan - Dec), 2021",Alchemist Foods Ltd,Meat,Commercial production started,40.71,3.05,3.05
India,GUJARAT,ANAND,"Calendar Year (Jan - Dec), 2021",Phoenix Frozen foods,F&V,Reported completion of project,22.69,8.02,5.23
India,ODISHA,BALESHWAR,"Calendar Year (Jan - Dec), 2021",Falcon Marine Exports Limited,Fishery,Commercial production started,77.18,10,10
India,BIHAR,GOPALGANJ,"Calendar Year (Jan - Dec), 2021",Saran Dairy Producer Company Limited,Dairy,Under Implementation,11.66,3.05,
India,BIHAR,BEGUSARAI,"Calendar Year (Jan - Dec), 2021",Ganga Dairy Ltd.,Dairy,Commercial production started,22.6,9.35,9.35
India,HARYANA,SONIPAT,"Calendar Year (Jan - Dec), 2021",Shell Mount Fresh,F&V,Commercial production started,24.08,8.64,8.64
India,ANDHRA PRADESH,EAST GODAVARI,"Calendar Year (Jan - Dec), 2021",Coastal Corporation Limited,Marine & Fishery,Under Implementation,71.16,10,
India,MAHARASHTRA,NAGPUR,"Calendar Year (Jan - Dec), 2021",Global Foods,"F&V (Pulses, F&V, Spices)",Commercial production started,24.28,9.55,9.55
India,PUNJAB,KAPURTHALA,"Calendar Year (Jan - Dec), 2021",B.D. Agro,F&V,Commercial production started,22.64,9.84,9.84
India,GUJARAT,SURAT,"Calendar Year (Jan - Dec), 2021",GUK Foods LLP,F&V,Under Implementation,20.49,10,
India,HARYANA,REWARI,"Calendar Year (Jan - Dec), 2021",Microtrol Sterilisation Services,Irradiation,Reported completion of project,17.47,7.38,4.56
India,UTTARAKHAND,NAINITAL,"Calendar Year (Jan - Dec), 2021",Pal Frozen Foods,F&V,Commercial production started,16.12,10,10
India,MAHARASHTRA,SATARA,"Calendar Year (Jan - Dec), 2021",Swaraj India Industries Ltd.,Dairy,Commercial production started,26.21,8.46,8.46
India,HARYANA,REWARI,"Calendar Year (Jan - Dec), 2021",Aligned Industries Ltd,Irradiation,Commercial production started,22.02,7.21,7.21
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",Rajshree Milk Products,Dairy,Commercial production started,18.39,7.58,7.58
India,PUNJAB,SANGRUR,"Calendar Year (Jan - Dec), 2021",International Fresh Farm Products (India) Ltd.,F&V,Commercial production started,28.81,7.26,7.26
India,GUJARAT,MORBI,"Calendar Year (Jan - Dec), 2021",Funwave Foods LLP,RTE,Under Implementation,30.9,10,
India,RAJASTHAN,JAIPUR,"Calendar Year (Jan - Dec), 2021",Dev Milk Foods Pvt. Ltd.,Dairy,Commercial production started,29.21,5.94,5.94
India,HARYANA,PALWAL,"Calendar Year (Jan - Dec), 2021",M J Logistic Services Ltd.,F&V,Commercial production started,21.38,4.21,4.21
India,TELANGANA,HYDERABAD,"Calendar Year (Jan - Dec), 2021",Creamline Dairy Products Ltd.,Dairy,Commercial production started,23.86,9.75,9.75
India,PUNJAB,FAZILKA,"Calendar Year (Jan - Dec), 2021",Native Farm Food,Dairy,25% progress,1.47,0.71,0.18
India,MAHARASHTRA,SANGLI,"Calendar Year (Jan - Dec), 2021",Shivtirth Dairy & Agro Producers Company Ltd,Dairy,Commercial production started,8.2,2.45,2.45
India,ANDHRA PRADESH,EAST GODAVARI,"Calendar Year (Jan - Dec), 2021",Three Seasons Exim Limited,Marine & Fishery,Reported 65% progress,86,10,2.5
India,GUJARAT,VALSAD,"Calendar Year (Jan - Dec), 2021",Foods and Inns Limited,F&V,Under Implementation,23.66,8.89,
India,UTTAR PRADESH,AMROHA,"Calendar Year (Jan - Dec), 2021",NUFARM Foods,F&V,Commercial production started,25.62,9.19,9.19
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",Anand Foods,F&V,65% progress,23.14,10,6.5
India,TELANGANA,MAHABUBNAGAR,"Calendar Year (Jan - Dec), 2021",Sneha Farms Private Limited,Meat & Poultry,Reported 25% progress,64.09,10,
India,MAHARASHTRA,PUNE,"Calendar Year (Jan - Dec), 2021",Indapur Dairy & Milk Products Ltd,Dairy,Commercial production started,16.03,7.07,7.07
India,GUJARAT,KHEDA,"Calendar Year (Jan - Dec), 2021",Wholesome Foods,F&V,Commercial production started,34.8,9.96,9.96
India,MAHARASHTRA,SATARA,"Calendar Year (Jan - Dec), 2021",P.D. Shah and Sons Cold Storage Pvt. Ltd.,F&V,Commercial production started,27.09,4.05,4.05
India,GUJARAT,BANAS KANTHA,"Calendar Year (Jan - Dec), 2021",Teknofine Foods Pvt Ltd,F&V,Commercial production started,46,10,10
India,WEST BENGAL,HOWRAH,"Calendar Year (Jan - Dec), 2021",Shimla Horticulture,F&V,Commercial production started,14.8,4.27,4.27
India,TAMIL NADU,DINDIGUL,"Calendar Year (Jan - Dec), 2021",GRB Dairy Foods Private Limited,Dairy,Under Implementation,24.24,6.53,
India,JAMMU AND KASHMIR,BARAMULLA,"Calendar Year (Jan - Dec), 2021",Kachroo Integrated Cold Chain,F&V,Commercial production started,14.26,9.95,9.95
India,HARYANA,FARIDABAD,"Calendar Year (Jan - Dec), 2021",Nutrimed Dairy LLP,Dairy,Under Implementation,30.44,10,
India,TELANGANA,VIKARABAD,"Calendar Year (Jan - Dec), 2021",Chandana Milk Products,Dairy,Reported 65% progress,28.96,10,2.5
India,HARYANA,HISAR,"Calendar Year (Jan - Dec), 2021",Fresh Food Processing,F&V,Commercial production started,15.92,6.88,6.88
India,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,"Calendar Year (Jan - Dec), 2021",Cremica Food Industries Limited,F&V,25% progress,38.11,10,2.12
India,JAMMU AND KASHMIR,KATHUA,"Calendar Year (Jan - Dec), 2021",DC Agro Project,F&V,Under Implementation,32.36,10,
India,UTTAR PRADESH,HAPUR,"Calendar Year (Jan - Dec), 2021",Arvind Dairy Private Ltd.,Dairy,Under Implementation,24.59,5.77,
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",Cheema Frozen Foods,F&V,Commercial production started,14,8.69,8.69
India,MAHARASHTRA,PUNE,"Calendar Year (Jan - Dec), 2021",D.J. Exports Pvt.Ltd.,F&V,Commercial production started,18.31,5.19,5.19
India,MAHARASHTRA,NASHIK,"Calendar Year (Jan - Dec), 2021",Polisetty Somasundaram Agro Exports,F&V,65% progress,30.36,10,6.5
India,PUNJAB,LUDHIANA,"Calendar Year (Jan - Dec), 2021",Supreme Agro Foods Pvt. Ltd.,Dairy,Commercial production started,31.17,8.07,8.07
India,UTTAR PRADESH,SHAHJAHANPUR,"Calendar Year (Jan - Dec), 2021",S.R. Food Chain,F&V,75% progress,19.95,8.65,6.49
India,HIMACHAL PRADESH,SOLAN,"Calendar Year (Jan - Dec), 2021",Himalaya Cotton Yarn Ltd.,F&V,Commercial production started,12.3,4.99,4.99
India,HIMACHAL PRADESH,SHIMLA,"Calendar Year (Jan - Dec), 2021",ANGD Fruit Ranch Pvt. Ltd.,F&V,Reported 65% progress,58.23,10,2.38
India,ANDHRA PRADESH,ANANTAPUR,"Calendar Year (Jan - Dec), 2021",Srichakra Milk Products LLP,Dairy,Under Implementation,22.05,7.01,
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",Neutrons Agri Produce,F&V,Commercial production started,16.26,9.71,9.71
India,HIMACHAL PRADESH,SOLAN,"Calendar Year (Jan - Dec), 2021","Om CA Store, a Unit of Om Hospitalities and Resorts",F&V,65% progress,15,9.56,6.21
India,HARYANA,SIRSA,"Calendar Year (Jan - Dec), 2021",Zanders Resorts Private Limited,Dairy,Under Implementation,26.81,10,
India,GUJARAT,MAHESANA,"Calendar Year (Jan - Dec), 2021",Asandas & Sons,F&V,Commercial production started,46.12,7.67,7.67
India,KARNATAKA,UTTARA KANNADA,"Calendar Year (Jan - Dec), 2021",Srikrishna Milks Private Limited,Dairy,Commercial production started,26.96,5.67,5.67
