Country,State,District,Year,Name Of The Project,Sector,Physical Progress Of The Project,Cost Of The Project (UOM:INR(IndianRupees)),Approved Amount Of Grant-In-Aid (UOM:INR(IndianRupees)),Total Amount Of Grant Released (UOM:INR(IndianRupees))
India,ANDHRA PRADESH,SPSR NELLORE,"Calendar Year (Jan - Dec), 2021",Castlerock Fisheries Private Limited,Marine & Fishery,Under Implementation,40.85,10,
India,ANDHRA PRADESH,KRISHNA,"Calendar Year (Jan - Dec), 2021",Jaya Lakshmi Sea Foods Pvt Ltd,Marine & Fishery,Under Implementation,74.23,10,
India,KARNATAKA,BELAGAVI,"Calendar Year (Jan - Dec), 2021",Basweshwar Industry,F&V,Commercial production started,18.2,7.8,7.8
India,KARNATAKA,UDUPI,"Calendar Year (Jan - Dec), 2021",Malpefresh Marine Exports Private Limited.,Marine,Commercial production started,18.1,4.37,4.37
India,GUJARAT,VADODARA,"Calendar Year (Jan - Dec), 2021",Saraf Foods Ltd,F&V,Commercial production started,44.97,10,10
India,MAHARASHTRA,NASHIK,"Calendar Year (Jan - Dec), 2021",Siva Sai Exports,F&V,Commercial production started,27.84,10,10
India,MAHARASHTRA,RAIGAD,"Calendar Year (Jan - Dec), 2021",Seasaga Enterprises Pvt. Ltd,Marine,Commercial production started,51.46,10,10
India,MAHARASHTRA,PUNE,"Calendar Year (Jan - Dec), 2021",Indapur Dairy & Milk Products Ltd.,Dairy,Reported completion of project,50,8.77,5.7
India,UTTAR PRADESH,KANPUR DEHAT,"Calendar Year (Jan - Dec), 2021",Akashdeep Cold Storage Pvt. Ltd.,Dairy,Commercial production started,27.06,2.85,2.85
India,MAHARASHTRA,SOLAPUR,"Calendar Year (Jan - Dec), 2021",Vaishnavi Grape & Pomegranate Processing Pvt Ltd,F&V,Reported completion of project,24.32,9.96,6.47
India,MADHYA PRADESH,BHOPAL,"Calendar Year (Jan - Dec), 2021",Vardhman Agrofresh Products,F&V,65% progress,13.04,4.49,2.91
India,TAMIL NADU,THIRUVALLUR,"Calendar Year (Jan - Dec), 2021",Monsoon Bounty Foods Manufacturing Pvt. Ltd.,Marine,Commercial production started,11.37,3.42,3.42
India,MAHARASHTRA,PUNE,"Calendar Year (Jan - Dec), 2021",Western Hill Foods Ltd,F&V,Commercial production started,20.96,7.42,7.42
India,MAHARASHTRA,PALGHAR,"Calendar Year (Jan - Dec), 2021",Heritage Foods Limited,Dairy,Reported 65% progress,46.06,10,2.5
